Date,de,uk,it,es,tr,ie,pt,gr,hu,maxtrsh,mintrsh
2017-07-13,71.75,59.89,68.72,58.67,45.22,43.36,29.47,54.99,28.79,37.5,32.8
2017-07-14,70.49,59.09,53.37,62.75,39.46,37.19,33.68,48.17,32.80,37.5,32.8
2017-07-15,70.08,66.70,53.69,62.73,27.70,41.94,37.41,49.82,33.38,37.5,32.8
2017-07-16,62.45,61.59,66.23,62.16,46.64,48.14,25.35,57.27,35.23,37.5,32.8
2017-07-17,64.44,62.08,67.17,42.91,47.36,40.56,29.14,49.66,32.47,37.5,32.8
2017-07-18,70.78,61.46,63.39,47.84,44.19,40.42,28.75,57.16,30.72,37.5,32.8
2017-07-19,68.37,62.20,69.99,57.63,50.94,59.51,28.91,57.87,32.97,37.5,32.8
2017-07-20,74.53,50.28,68.36,43.74,39.78,42.47,57.41,46.95,27.37,37.5,32.8
2017-07-21,75.01,62.52,71.93,58.50,42.82,52.89,58.01,45.84,25.65,37.5,32.8
2017-07-22,71.93,53.71,73.18,51.40,47.02,42.01,56.86,55.95,25.33,37.5,32.8
2017-07-23,80.28,50.46,74.17,44.27,44.82,25.22,58.06,43.89,25.95,37.5,32.8
2017-07-24,70.26,53.71,68.87,53.89,47.19,31.57,64.43,48.39,25.00,37.5,32.8
2017-07-25,69.67,55.97,62.63,53.76,45.57,31.58,53.60,35.07,24.12,37.5,32.8
2017-07-26,71.96,66.41,65.13,59.51,0,30.86,50.51,51.68,25.50,37.5,32.8
2017-07-27,74.25,60.24,67.71,60.23,0,31.67,45.19,55.97,25.85,37.5,32.8
2017-07-28,76.76,59.25,73.01,63.42,60.99,44.42,47.16,58.08,23.83,37.5,32.8
2017-07-29,79.46,56.61,68.80,52.88,51.85,45.88,58.77,61.63,26.04,37.5,32.8
2017-07-30,74.66,52.78,73.71,64.11,41.34,40.62,57.00,61.19,26.73,37.5,32.8
2017-07-31,71.50,56.96,63.48,57.49,35.14,36.02,57.88,44.83,24.53,37.5,32.8
2017-08-01,69.94,47.68,54.65,41.94,42.36,37.42,45.72,37.56,34.67,37.5,32.8
2017-08-02,66.49,46.88,62.92,43.99,36.37,41.95,48.01,40.82,50.96,37.5,32.8
2017-08-03,70.10,52.57,58.02,48.68,32.45,40.35,41.06,45.86,47.93,37.5,32.8
2017-08-04,78.18,45.49,58.18,51.11,37.47,37.68,50.20,38.31,55.41,37.5,32.8
2017-08-05,80.31,28.29,58.26,49.26,31.82,49.29,38.65,31.81,48.73,37.5,32.8
2017-08-06,82.13,40.63,54.39,46.13,18.53,32.32,33.77,32.12,44.18,37.5,32.8
2017-08-07,76.35,33.66,58.04,44.40,26.54,36.82,33.41,30.49,43.63,37.5,32.8
2017-08-08,72.74,31.22,51.12,39.01,20.01,38.29,47.03,50.08,56.42,37.5,32.8
2017-08-09,57.52,17.56,34.12,36.93,26.56,44.19,51.83,52.44,67.86,37.5,32.8
2017-08-10,39.20,24.42,44.90,38.71,31.89,39.95,42.02,51.53,63.05,37.5,32.8
2017-08-11,53.55,22.77,38.87,26.63,32.46,54.31,40.32,45.98,66.27,37.5,32.8
2017-08-12,28.88,14.21,53.66,29.25,18.36,46.14,49.29,50.28,67.42,37.5,32.8
2017-08-13,64.36,19.02,42.36,32.16,32.87,41.55,45.25,45.09,71.83,37.5,32.8
2017-08-14,49.75,40.35,34.92,23.41,37.25,45.75,50.27,59.05,66.73,37.5,32.8
2017-08-15,70.3,25.6;48.6,46.8,28,45.7,43.1,49.8,64.8,37.5,32.8
2017-08-16,65.73,33.01,43.56,62.11,39.77,40.13,35.40,59.98,55.02,37.5,32.8
2017-08-17,48.27,9.55,41.01,55.85,47.93,39.89,37.54,39.21,64.60,37.5,32.8
2017-08-18,45.76,16.59,61.21,55.23,27.13,43.48,40.33,51.84,59.68,37.5,32.8
2017-08-19,69.82,34.07,41.41,57.49,23.49,49.43,46.24,25.83,28.40,37.5,32.8
2017-08-20,71.39,62.45,65.18,60.63,47.89,41.13,35.24,50.85,61.01,37.5,32.8
2017-08-21,72.02,54.43,64.27,54.15,46.51,44.46,37.29,45.23,57.90,37.5,32.8
2017-08-22,74.51,49.87,57.77,58.18,39.31,37.19,28.39,41.77,57.53,37.5,32.8
2017-08-23,74.71,62.01,55.01,47.98,35.75,35.34,46.67,39.76,58.37,37.5,32.8
2017-08-24,78.82,55.03,61.26,57.03,33.39,37.85,35.37,43.50,54.45,37.5,32.8
2017-08-25,81.93,62.30,70.47,58.30,27.45,49.59,37.92,57.29,46.01,37.5,32.8
2017-08-26,78.13,58.96,70.35,56.60,46.14,67.14,39.90,51.04,46.29,37.5,32.8
2017-08-27,83.44,65.22,63.38,60.79,35.60,58.34,38.87,62.58,55.76,37.5,32.8
2017-08-28,84.33,53.57,63.85,50.71,42.88,44.05,44.93,59.31,65.37,37.5,32.8
2017-08-29,78.49,57.79,64.44,48.65,37.67,44.12,40.24,42.42,53.94,37.5,32.8
2017-08-30,78.19,53.21,64.94,48.56,38.97,48.35,34.29,45.94,46.24,37.5,32.8
2017-08-31,69.66,61.73,58.05,54.47,36.04,38.76,37.16,51.06,59.06,37.5,32.8
2017-09-01,75.77,58.91,68.23,50.17,33.87,40.58,33.50,43.23,51.31,37.5,32.8
2017-09-02,81.33,58.46,56.12,57.09,35.90,37.43,34.95,47.92,58.69,37.5,32.8
2017-09-03,79.95,65.42,74.53,61.02,38.52,42.36,40.52,52.67,62.40,37.5,32.8
2017-09-04,75.97,64.94,63.45,59.45,46.81,34.66,46.04,51.88,61.71,37.5,32.8
2017-09-05,86.51,71.78,76.55,72.60,59.26,49.74,40.65,70.28,69.79,37.5,32.8
2017-09-06,77.21,68.17,63.96,72.59,46.04,57.10,51.42,65.00,70.56,37.5,32.8
2017-09-07,79.49,71.14,73.45,73.14,63.18,48.08,48.84,64.48,72.79,37.5,32.8
2017-09-08,72.42,75.96,81.89,69.55,51.55,50.87,54.54,67.23,77.21,37.5,32.8
2017-09-09,84.48,71.19,79.75,68.71,37.44,50.48,53.19,63.51,76.45,37.5,32.8
2017-09-10,85.75,77.78,79.59,69.20,56.56,43.21,55.79,66.13,66.20,37.5,32.8
2017-09-11,77.98,65.21,77.56,71.31,49.47,50.51,47.56,66.03,75.14,37.5,32.8
2017-09-12,17.97,9.31,42.69,26.20,11.31,1.92,16.58,36.00,40.88,37.5,32.8
2017-09-13,83.90,78.30,79.50,55.76,32.46,51.26,49.87,61.76,76.26,37.5,32.8
2017-09-14,83.64,42.39,30.89,58.36,25.08,51.96,42.15,26.88,23.96,37.5,32.8
2017-09-15,78.57,1.97,80.52,60.03,69.59,52.35,51.96,59.70,78.11,37.5,32.8
2017-09-16,80.12,58.13,79.35,70.12,61.43,52.39,60.76,54.36,77.06,37.5,32.8
2017-09-17,76.07,65.10,81.21,72.69,45.79,52.05,35.87,61.60,76.26,37.5,32.8
2017-09-18,79.03,0,72.95,67.57,53.21,58.51,46.94,65.97,69.23,37.5,32.8
2017-09-19,85.73,60.32,70.17,65.50,46.04,45.55,41.71,65.38,63.63,37.5,32.8
2017-09-20,80.98,72.57,80.58,51.13,56.25,40.21,38.89,64.41,66.52,37.5,32.8
2017-09-21,73.89,46.66,77.72,66.66,59.49,46.02,54.51,65.13,64.98,37.5,32.8
2017-09-22,81.59,82.03,69.11,67.41,45.32,53.63,57.51,67.54,61.63,37.5,32.8
2017-09-23,84.63,77.55,80.15,69.98,59.78,52.50,53.82,64.87,59.18,37.5,32.8
2017-09-24,82.16,77.57,79.47,66.64,34.97,52.71,54.67,71.48,74.06,37.5,32.8
2017-09-25,83.67,69.51,70.24,65.91,37.54,57.38,49.09,66.30,71.06,37.5,32.8
2017-09-26,81.72,72.60,78.85,73.33,50.52,46.75,54.39,68.08,67.12,37.5,32.8
2017-09-27,83.29,81.68,74.88,63.93,55.06,48.40,51.67,55.44,70.25,37.5,32.8
